flag,vtuber_name,platform,platform_uid,follower
0,甘井羽衣,bilibili,1625693678,146936
0,Shylily,bilibili,3546699041605816,146872
0,心宜,bilibili,3537115310721181,146281
0,filian_菲莲,bilibili,3546699035315021,146224
0,安洁·卡特莉娜,bilibili,458154143,146057
0,物理魔法使哈娜酱,bilibili,3009298,146018
0,画外灯official,bilibili,698168210,145991
0,绿仙,bilibili,403930401,145958
0,龙胆尊,bilibili,434564604,145912
0,sunyeojin,bilibili,1869304,145621
0,修ShowTime-Egous,bilibili,3546793340046096,145264
0,千奈Miko,bilibili,398629298,144989
0,Laine_official,bilibili,668479385,144726
0,江壹纯,bilibili,324884920,144109
0,天音彼方,bilibili,491474048,144082
0,软萌布丁酱,bilibili,1422451239,143979
0,白粥nina,bilibili,3493284211067530,143969
0,帕莎Pasha,bilibili,1633779879,143941
0,MeUmyShelf,bilibili,674421433,143336
0,酸柚粥sayo,bilibili,627432065,143235
0,黑桃影,bilibili,456368455,143063
0,悅音幻絲,bilibili,19366645,143033
0,鹰宫莉音,bilibili,436596840,142773
0,Uki的捕星网,bilibili,2129870539,142375
0,大神澪,bilibili,389862071,142033
0,結城さくな的洋葱港,bilibili,10217431,141418
0,雪桃子Official,bilibili,451793,141341
0,玩具喵,bilibili,296496909,141049
0,花雨春绘,bilibili,1657906522,140711
0,筱魈,bilibili,4690327,140100
0,猫屋敷梨梨Official,bilibili,26087398,139968
0,暮月Medus,bilibili,475656353,139679
0,洛澜Aurelia,bilibili,1560400081,139578
0,雷柏磷ボリン,bilibili,509050400,138314
0,墨喵星突突母舰Official,bilibili,845921,138261
0,牧牧白miiu,bilibili,592150173,137849
0,轴伊Joi,bilibili,61639371,137619
0,紫咲诗音,bilibili,389857640,137196
0,莱恩Leo,bilibili,1116072703,136824
0,小芙ProMax,bilibili,3706926166706979,136672
0,海童亚奈子,bilibili,1116286149,136552
0,雨街F,bilibili,118754720,136439
0,费尔南,bilibili,677736203,136400
0,绫加奥娜,bilibili,617737,136291
0,克蕾雅,bilibili,477780496,136068
0,黑桃洛洛Ace,bilibili,3546799256111758,135747
0,雾深Girimi,bilibili,1484169431,135467
0,戌亥床,bilibili,458154142,134914
0,小东人魚,bilibili,441382432,134644
0,业龙YeeRon,bilibili,11640520,134380
0,_BLZ_,bilibili,2255628,134022
0,云崎早_haya,bilibili,3493074573461871,134002
0,零太,bilibili,334299,133898
0,奶茶姬,bilibili,130209,133897
0,米露可,bilibili,327711614,133857
0,癒月巧可,bilibili,389858754,133735
0,Bane_Kukulcan,bilibili,1361858997,133027
0,秋凛子,bilibili,479633069,132841
0,宇佐紀ノノ_usagi,bilibili,313248263,132821
